contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
BAC210423C00036500,2021-03-05 18:10:35,36.5,1.96,2.14,2.02,call,2021-04-23,0.13424657534246576,0.32135009765625
BAC210423C00037500,2021-03-05 20:47:44,37.5,1.51,1.61,1.56,call,2021-04-23,0.13424657534246576,0.32318115234375
BAC210423C00038500,2021-03-05 19:37:00,38.5,1.09,1.22,1.16,call,2021-04-23,0.13424657534246576,0.3167724609375
BAC210423C00039000,2021-03-05 20:58:49,39.0,0.96,1.01,1.0,call,2021-04-23,0.13424657534246576,0.321044921875
BAC210423C00040500,2021-03-05 20:19:04,40.5,0.56,0.69,0.6,call,2021-04-23,0.13424657534246576,0.3216552734375
BAC210423P00034000,2021-03-04 17:27:01,34.0,0.7,0.76,0.79,put,2021-04-23,0.13424657534246576,0.38116455078125
BAC210521C00034000,2021-03-05 20:16:27,34.0,4.0,4.15,4.15,call,2021-05-21,0.21095890410958903,0.34576416015625
BAC210521C00035000,2021-03-05 20:55:54,35.0,3.35,3.45,3.4,call,2021-05-21,0.21095890410958903,0.322265625
BAC210521C00036000,2021-03-05 20:26:16,36.0,2.75,2.85,2.81,call,2021-05-21,0.21095890410958903,0.32501220703125
BAC210521C00037000,2021-03-05 20:54:33,37.0,2.22,2.32,2.31,call,2021-05-21,0.21095890410958903,0.33843994140625
BAC210521C00038000,2021-03-05 20:54:54,38.0,1.8,1.84,1.79,call,2021-05-21,0.21095890410958903,0.3143310546875
BAC210521C00039000,2021-03-05 20:34:12,39.0,1.38,1.48,1.44,call,2021-05-21,0.21095890410958903,0.316162109375
BAC210521C00040000,2021-03-05 20:58:21,40.0,1.08,1.14,1.1,call,2021-05-21,0.21095890410958903,0.31951904296875
BAC210521P00034000,2021-03-05 20:31:26,34.0,1.05,1.12,1.13,put,2021-05-21,0.21095890410958903,0.3619384765625
BAC210521P00035000,2021-03-05 20:57:38,35.0,1.4,1.46,1.46,put,2021-05-21,0.21095890410958903,0.35186767578125
BAC210521P00036000,2021-03-05 20:46:59,36.0,1.8,1.85,1.84,put,2021-05-21,0.21095890410958903,0.35003662109375
BAC210521P00037000,2021-03-05 20:29:30,37.0,2.25,2.33,2.34,put,2021-05-21,0.21095890410958903,0.361328125
BAC210521P00038000,2021-03-03 15:40:23,38.0,2.81,2.86,3.15,put,2021-05-21,0.21095890410958903,0.386962890625
BAC210521P00039000,2021-03-05 15:31:30,39.0,3.4,3.5,3.8,put,2021-05-21,0.21095890410958903,0.388031005859375
BAC210521P00040000,2021-03-04 19:47:50,40.0,4.1,4.2,4.5,put,2021-05-21,0.21095890410958903,0.3961181640625
BAC210618C00034000,2021-03-05 20:30:46,34.0,4.3,4.35,4.3,call,2021-06-18,0.2876712328767123,0.31005859375
BAC210618C00035000,2021-03-05 20:53:09,35.0,3.6,3.7,3.7,call,2021-06-18,0.2876712328767123,0.3106689453125
BAC210618C00036000,2021-03-05 20:53:54,36.0,3.0,3.15,3.15,call,2021-06-18,0.2876712328767123,0.3179931640625
