contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
BAC210618P00035000,2021-03-03 20:59:30,35.0,2.08,2.14,2.09,put,2021-06-18
BAC210618P00037000,2021-03-03 19:03:11,37.0,3.05,3.15,2.98,put,2021-06-18
BAC210618P00040000,2021-03-02 19:25:52,40.0,5.0,5.15,4.79,put,2021-06-18
BAC210820C00033000,2021-03-03 19:42:37,33.0,5.05,5.2,5.35,call,2021-08-20
BAC210820C00034000,2021-03-03 18:59:25,34.0,4.4,4.6,4.55,call,2021-08-20
BAC210820C00035000,2021-03-03 20:59:02,35.0,3.85,4.0,3.95,call,2021-08-20
BAC210820C00036000,2021-03-03 20:54:12,36.0,3.35,3.5,3.45,call,2021-08-20
BAC210820C00037000,2021-03-03 20:42:49,37.0,2.88,3.05,2.98,call,2021-08-20
BAC210820C00038000,2021-03-03 20:57:35,38.0,2.46,2.56,2.58,call,2021-08-20
BAC210820C00039000,2021-03-03 19:20:56,39.0,2.06,2.24,2.24,call,2021-08-20
BAC210820C00040000,2021-03-03 20:58:32,40.0,1.8,1.88,1.89,call,2021-08-20
BAC210820P00033000,2021-03-03 19:41:23,33.0,1.91,1.97,1.83,put,2021-08-20
BAC210820P00034000,2021-03-01 20:41:00,34.0,2.25,2.41,2.43,put,2021-08-20
BAC210820P00035000,2021-03-03 14:44:32,35.0,2.69,2.95,2.6,put,2021-08-20
BAC210820P00036000,2021-03-03 20:39:26,36.0,3.15,3.3,3.2,put,2021-08-20
BAC210820P00037000,2021-03-03 18:05:02,37.0,3.65,3.8,3.5,put,2021-08-20
BAC210820P00038000,2021-02-26 14:35:00,38.0,4.25,4.4,4.21,put,2021-08-20
BAC210820P00040000,2021-03-03 16:58:46,40.0,5.55,5.75,5.3,put,2021-08-20
