contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
APHA210521P00022000,2021-04-26 16:19:52,3.0,22.0,7.3,7.65,7.8,put,2021-05-21,0.0684931506849315,1.515625
APHA210521P00023000,2021-04-14 15:51:19,10.0,23.0,8.25,8.65,9.2,put,2021-05-21,0.0684931506849315,1.96875
APHA210521P00024000,2021-04-21 13:53:15,1.0,24.0,8.95,9.65,11.1,put,2021-05-21,0.0684931506849315,
APHA210521P00025000,2021-04-20 14:49:30,100.0,25.0,10.2,10.6,11.4,put,2021-05-21,0.0684931506849315,
APHA210521P00026000,2021-04-16 15:25:29,40.0,26.0,11.2,11.55,12.22,put,2021-05-21,0.0684931506849315,
APHA210521P00028000,2021-03-29 04:01:11,,28.0,13.05,13.65,10.6,put,2021-05-21,0.0684931506849315,
APHA210521P00030000,2021-04-07 16:46:29,,30.0,14.65,15.6,14.0,put,2021-05-21,0.0684931506849315,
APHA210528C00012500,2021-04-22 17:55:30,5.0,12.5,2.5,2.94,2.0,call,2021-05-28,0.08767123287671233,
APHA210528C00013000,2021-04-26 19:55:45,8.0,13.0,2.25,2.46,2.4,call,2021-05-28,0.08767123287671233,0.796875
APHA210528C00013500,2021-04-26 15:39:48,28.0,13.5,1.96,2.26,2.0,call,2021-05-28,0.08767123287671233,0.75
APHA210528C00014000,2021-04-26 13:55:34,7.0,14.0,1.71,1.98,1.71,call,2021-05-28,0.08767123287671233,0.7421875
APHA210528C00014500,2021-04-26 19:49:20,26.0,14.5,1.49,1.7,1.6,call,2021-05-28,0.08767123287671233,0.84375
APHA210528C00015000,2021-04-26 17:52:45,35.0,15.0,1.26,1.55,1.35,call,2021-05-28,0.08767123287671233,0.828125
APHA210528C00015500,2021-04-26 19:54:25,7.0,15.5,1.13,1.3,1.19,call,2021-05-28,0.08767123287671233,0.84375
APHA210528C00016000,2021-04-26 17:07:58,11.0,16.0,0.93,1.16,1.07,call,2021-05-28,0.08767123287671233,0.875
APHA210528C00016500,2021-04-26 15:45:49,10.0,16.5,0.83,1.04,0.9,call,2021-05-28,0.08767123287671233,0.8828125
APHA210528C00017000,2021-04-26 19:04:20,33.0,17.0,0.69,0.85,0.8,call,2021-05-28,0.08767123287671233,0.8984375
APHA210528C00017500,2021-04-23 18:41:48,1.0,17.5,0.59,0.87,0.65,call,2021-05-28,0.08767123287671233,0.875
APHA210528C00018000,2021-04-26 19:59:35,22.0,18.0,0.56,0.7,0.63,call,2021-05-28,0.08767123287671233,0.921875
APHA210528C00018500,2021-04-26 19:58:55,22.0,18.5,0.42,0.75,0.55,call,2021-05-28,0.08767123287671233,0.9375
APHA210528C00019000,2021-04-26 18:22:18,147.0,19.0,0.41,0.55,0.5,call,2021-05-28,0.08767123287671233,0.9765625
APHA210528C00019500,2021-04-23 19:36:47,1.0,19.5,0.36,0.6,0.39,call,2021-05-28,0.08767123287671233,0.9375
APHA210528C00020000,2021-04-26 19:26:27,28.0,20.0,0.31,0.44,0.44,call,2021-05-28,0.08767123287671233,1.03125
APHA210528C00020500,2021-04-23 18:02:27,1.0,20.5,0.29,0.5,0.34,call,2021-05-28,0.08767123287671233,0.984375
APHA210528C00021000,2021-04-26 14:40:15,17.0,21.0,0.25,0.5,0.23,call,2021-05-28,0.08767123287671233,0.9375
APHA210528C00021500,2021-04-26 14:37:10,5.0,21.5,0.22,0.48,0.26,call,2021-05-28,0.08767123287671233,1.0
APHA210528C00022000,2021-04-26 15:57:01,7.0,22.0,0.24,0.27,0.23,call,2021-05-28,0.08767123287671233,1.03125
APHA210528P00012500,2021-04-21 15:16:55,2.0,12.5,0.39,0.72,1.1,put,2021-05-28,0.08767123287671233,1.296875
APHA210528P00013000,2021-04-26 18:19:39,5.0,13.0,0.59,0.81,0.7,put,2021-05-28,0.08767123287671233,0.875
APHA210528P00013500,2021-04-22 19:31:26,8.0,13.5,0.76,1.11,1.51,put,2021-05-28,0.08767123287671233,1.25
APHA210528P00014000,2021-04-26 18:12:20,24.0,14.0,1.0,1.27,1.15,put,2021-05-28,0.08767123287671233,0.8828125
APHA210528P00014500,2021-04-26 19:10:59,3.0,14.5,1.26,1.63,1.45,put,2021-05-28,0.08767123287671233,0.921875
APHA210528P00015000,2021-04-19 16:54:43,42.0,15.0,1.57,1.94,2.31,put,2021-05-28,0.08767123287671233,1.265625
APHA210528P00015500,2021-04-19 04:01:45,,15.5,1.82,2.28,2.85,put,2021-05-28,0.08767123287671233,1.390625
APHA210528P00016000,2021-04-20 14:56:54,2.0,16.0,2.23,2.63,3.25,put,2021-05-28,0.08767123287671233,1.421875
APHA210528P00016500,2021-04-20 15:43:07,1.0,16.5,2.53,2.98,2.9,put,2021-05-28,0.08767123287671233,1.046875
